director_name,director_id
Jim Field Smith,1170
Robert Butler,1171
Paul Gross,1172
Gaspar Nou00e9,1173
Peter Stebbings,1174
Alan Poul,1175
Susanna White,1176
Vincente Minnelli,1177
Eugu00e8ne Louriu00e9,1178
Russell Holt,1179
Alan Shapiro,1180
Agnieszka Wojtowicz-Vosloo,1181
Catherine Owens,1182
Chris Morris,1183
Will Gluck,1184
Michael Patrick King,1185
Jorma Taccone,1186
George Nolfi,1187
Nanette Burstein,1188
Daniel Barnz,1189
Daniel Stamm,1190
Rachel Perkins,1191
William A. Fraker,1192
Nathan Greno,1193
Debra Granik,1194
Edward Dmytryk,1195
Brad Peyton,1196
Lisa Cholodenko,1197
Marc Forby,1198
Robert D. Webb,1199
Jeff Burr,1200
Steve Boyum,1201
Ferzan Ozpetek,1202
Will Speck,1203
Josh Gordon,1204
Tod Williams,1205
Derrick Borte,1206
Eric Brevig,1207
Ben Wheatley,1208
Steve Antin,1209
Bob Fosse,1210
Huck Botko,1211
Andrew Gurland,1212
Paul Feig,1213
Lowell Sherman,1214
Tay Garnett,1215
Henry King,1216
Anna Boden,1217
Gareth Edwards,1218
Eugene Jarecki,1219
Heidi Ewing,1220
Rachel Grady,1221
Steven R. Monroe,1222
Mike Leigh,1223
John Curran,1224
Kenneth Lonergan,1225
Spencer Susser,1226
Jonathan Liebesman,1227
James Gunn,1228
Tom Hooper,1229
Shana Feste,1230
George Hickenlooper,1231
Quentin Dupieux,1232
Dan Rush,1233
Andru00e9 u00d8vredal,1234
Troy Nixey,1235
Xavier Beauvois,1236
Sngmoo Lee,1237
Derek Cianfrance,1238
Denis Villeneuve,1239
Richard J. Lewis,1240
Eli Craig,1241
Michael D. Sellers,1242
Karen Moncrieff,1243
Shari Springer Berman,1244
Robert Pulcini,1245
Paul Mazursky,1246
Lena Dunham,1247
Victor Nunez,1248
Steve Rash,1249
Guillaume Canet,1250
Alister Grierson,1251
Jason Eisener,1252
Brad Lewis,1253
Gary Shore,1254
Gary McKendry,1255
Charles Binamu00e9,1256
Jennifer Yuh Nelson,1257
Asger Leth,1258
Don Hahn,1259
Paul Brizzi,1260
Pixote Hunt,1261
Gau00ebtan Brizzi,1262
Francis Glebas,1263
Hendel Butoy,1264
Christian E. Christiansen,1265
Tate Taylor,1266
Brad Furman,1267
Gonzalo Lu00f3pez-Gallego,1268
Jodie Foster,1269
J.C. Chandor,1270
Vera Farmiga,1271
Don Hall,1272
Stephen Anderson,1273
Bill Plympton,1274
Jim Mickle,1275
Mu00e5ns Mu00e5rlind,1276
Bju00f6rn Stein,1277
Noam Murro,1278
Gilles Paquet-Brenner,1279
Julie Anne Robinson,1280
