actor_id,character_name,cast_order,movie_id
138,Greenie,7,9541
138,Gus Lacey,7,10313
139,Deb / Flo (voice),8,12
140,Jacques (voice),9,12
140,Additional Voices (voice),45,585
140,Wheezy (voice),16,863
140,Red (voice),15,920
140,Peterbilt (voice),38,920
140,Heimlich (voice),5,9487
140,Additional Voices (voice),34,9806
141,Nigel (voice),10,12
141,Captain Hector Barbossa,1,22
141,Captain Hector Barbossa,16,58
141,Captain Hector Barbossa,6,285
141,Ephraim,6,612
141,Leon Trotsky,10,1360
141,Captain Hector Barbossa,4,1865
141,Philip Henslowe,2,1934
141,Harold  Harry  Pendel,1,2575
141,Sir Francis Walsingham,2,4517
141,Sir Francis Walsingham,1,4518
141,Casanova Frankenstein,1,9824
141,The Marquis de Sade,0,10876
142,Crush (voice),11,12
142,Emperor Zurg (voice),17,863
142,Fred (voice),35,920
142,Additional Voices (voice),22,9806
142,Lifeguard Bot (voice),24,10681
143,Coral (voice),12,12
143,Wilma Flintstone,1,888
143,Susan,1,2280
143,Dr. Emma Temple,2,10320
143,Mrs. Brody,1,10992
144,Squirt (voice),13,12
144,Additional Voices (voice),25,9806
145,Mr. Ray (voice),14,12
145,Roz (voice),6,585
145,Additional Voices (voice),32,9806
145,Additional Voice (voice),38,10193
146,Bruce (voice),15,12
146,Kevin McMaxford,21,6116
147,Anchor (voice),16,12
147,Avner,0,612
147,Hector,2,652
147,Sfc. Norm 'Hoot' Hooten,5,855
147,Bruce Banner / The Hulk,0,1927
148,Chum (voice),17,12
148,The Trainman,22,605
148,Tion Medon,18,1895
148,Mr. Wall,6,2666
148,Dr. Barker,19,6972
148,The Gyro Captain,1,8810
148,Gahjii,12,9273
148,Jedediah the Pilot,2,9355
148,Lord Rhoop,12,10140
149,Dentist (voice),18,12
149,Skipper (Qantas Sloop),14,6972
150,Darla (voice),19,12
151,Tad (voice),20,12
152,Pearl (voice),21,12
153,Sheldon (voice),22,12
153,Charlie Sumner,3,2251
153,Little Joe Dirt,8,10956
154,Fish School (voice),33,12
154,Yeti (voice),7,585
154,American Lieutenant,79,783
154,Hamm (voice),5,862
154,Hamm (voice),7,863
154,Mack /Hamm Car/Abominable Snow Plow/P.T. Flea Car (voice),14,920
154,Rebel Force Major Derlin,27,1891
154,1st Controller,79,1924
154,Mustafa (voice),11,2062
154,U.S. Lieutenant,26,5902
154,Controller,23,8536
154,P.T. Flea (voice),13,9487
154,The Underminer (voice),17,9806
154,Hamm (voice),8,10193
154,John (voice),4,10681
154,Chief Peck,43,10724
155,Forrest Gump,0,13
155,Himself (voice),11,35
155,Paul Edgecomb,0,497
155,Jim Lovell,0,568
155,Robert Langdon,0,591
155,Viktor Navorski,0,594
155,Carl Hanratty,1,640
155,Captain John H. Miller,0,857
155,Woody (voice),0,862
155,Woody (voice),0,863
155,Woody Car (voice),22,920
155,Joshua Josh Baskin,0,2280
155,Allen Bauer,0,2619
155,Michael Sullivan,0,4147
155,Hero Boy / Father / Conductor / Hobo / Scrooge / Santa Claus (voice),0,5255
155,Charlie Wilson,0,6538
155,Chuck Noland,0,8358
155,Joe Fox,0,9489
155,Andrew Beckett,0,9800
155,Woody (voice),0,10193
156,Jenny Curran,1,13
156,Wealthow,3,2310
156,The Princess Bride,1,2493
156,Lori,3,5955
156,Kelly,3,8944
156,Audrey Dunn,2,9741
156,Theresa Osborne,1,10207
157,Lt. Dan Taylor,2,13
157,Lawyer Burt Hammersmith,13,497
157,Ken Mattingly,3,568
157,Jim McConnell,0,2067
157,Gabriel Mercer,1,2155
157,Det. Jimmy Shaker,1,3595
157,Shaw (voice),2,7484
157,Commander Kevin Dunne,1,8688
158,Pvt. Benjamin Buford 'Bubba' Blue,3,13
158,Sloe,10,186
158,Mike O'Dell,9,1701
158,Reverend James,7,5123
158,Colonel Horn,8,6415
158,Don King,6,8489
158,Agent Stafford,17,10589
159,Mrs. Gump,4,13
159,Miranda Hillard,1,788
159,Aunt May,7,1930
159,Rep. Victoria Rudd,1,10327
159,Mama Lil,4,10564
160,Young Forrest Gump,5,13
161,Young Jenny Curran,6,13
161,Cecilia Lisbon,8,1443
162,Forrest Gump Jr.,7,13
162,David,0,644
162,Cole Sear,3,745
162,Trevor McKinney,2,10647
163,School Bus Driver,8,13
163,Brenda,9,16
163,Beatrice,13,607
163,Fly by Air Ticket Agent,16,2185
