movie_id,language_name,language_role
10136,English,Spoken
10137,English,Spoken
10138,English,Spoken
10139,English,Spoken
10140,English,Spoken
10147,English,Spoken
10152,English,Spoken
10153,English,Spoken
10156,English,Spoken
10159,English,Spoken
10160,English,Spoken
10163,English,Spoken
10184,English,Spoken
10185,English,Spoken
10186,English,Spoken
10187,English,Spoken
10188,English,Spoken
10189,English,Spoken
10191,English,Spoken
10192,English,Spoken
10193,English,Spoken
10195,English,Spoken
10196,English,Spoken
10197,English,Spoken
10198,English,Spoken
10199,English,Spoken
10200,English,Spoken
10201,English,Spoken
10202,English,Spoken
10204,English,Spoken
10207,English,Spoken
10208,English,Spoken
10215,English,Spoken
10217,English,Spoken
10218,English,Spoken
10220,English,Spoken
10225,English,Spoken
10229,English,Spoken
10246,English,Spoken
10269,English,Spoken
10281,English,Spoken
10283,English,Spoken
10285,English,Spoken
10288,English,Spoken
10306,English,Spoken
10307,English,Spoken
10312,English,Spoken
10313,English,Spoken
10314,English,Spoken
10315,English,Spoken
10316,English,Spoken
10317,English,Spoken
10320,English,Spoken
10327,English,Spoken
10329,English,Spoken
10330,English,Spoken
10331,English,Spoken
10333,English,Spoken
10336,English,Spoken
10339,English,Spoken
10358,English,Spoken
10362,English,Spoken
10364,English,Spoken
10366,English,Spoken
10368,English,Spoken
10375,English,Spoken
10377,English,Spoken
10384,English,Spoken
10386,English,Spoken
10388,English,Spoken
10397,English,Spoken
10398,English,Spoken
10400,English,Spoken
10402,English,Spoken
10414,English,Spoken
10425,English,Spoken
10426,English,Spoken
10428,English,Spoken
10431,English,Spoken
10436,English,Spoken
10439,English,Spoken
10448,English,Spoken
10461,English,Spoken
10471,English,Spoken
10476,English,Spoken
10477,English,Spoken
10478,English,Spoken
10481,English,Spoken
10483,English,Spoken
10488,English,Spoken
10490,English,Spoken
10501,English,Spoken
10514,English,Spoken
10521,English,Spoken
10523,English,Spoken
10527,English,Spoken
10528,English,Spoken
10530,English,Spoken
10533,English,Spoken
10534,English,Spoken
10537,English,Spoken
10545,English,Spoken
10550,English,Spoken
10555,English,Spoken
10557,English,Spoken
10559,English,Spoken
10560,English,Spoken
10564,English,Spoken
10567,English,Spoken
10571,English,Spoken
10577,English,Spoken
10585,English,Spoken
10586,English,Spoken
10589,English,Spoken
10590,English,Spoken
10591,English,Spoken
10592,English,Spoken
10611,English,Spoken
10623,English,Spoken
10625,English,Spoken
10629,English,Spoken
10632,English,Spoken
10634,English,Spoken
10637,English,Spoken
10646,English,Spoken
10647,English,Spoken
10658,English,Spoken
10661,English,Spoken
10663,English,Spoken
10673,English,Spoken
10674,English,Spoken
